method,donor_id,surplus_kg,allocated_kg,waste_kg,meals_served,ngo_id,distance_km,paps_score,time_to_expiry
PAPS,D12371,25.11435657891148,25.11435657891148,0.0,62.78589144727869,NGO_248,3.7270058401618136,0.9776379649590292,7.9926419015578
PAPS,D14999,3.1877876431896293,3.1877876431896293,0.0,7.9694691079740725,NGO_008,3.022,0.981868,17.21142890255866
PAPS,D21089,18.37860326258039,18.37860326258039,0.0,45.946508156450975,NGO_084,0.3583457712333234,0.9978499253726001,13.711903068982481
PAPS,D28145,23.64964393644675,23.64964393644675,0.0,59.124109841116876,NGO_304,7.139249304036861,0.9571645041757788,11.578535747152586
PAPS,D05387,26.560308652482522,26.560308652482522,0.0,66.4007716312063,NGO_403,1.7691058315104393,0.9893853650109374,4.496298247078984
PAPS,D09724,20.680761714269515,20.680761714269515,0.0,51.701904285673784,NGO_161,1.7401229671402372,0.9895592621971585,4.495912325379242
PAPS,D18681,17.7200183229601,17.7200183229601,0.0,44.30004580740025,NGO_252,3.950738160145231,0.9762955710391286,2.9293377946911914
PAPS,D05362,22.99552496762762,22.99552496762762,0.0,57.48881241906905,NGO_119,3.792411511163407,0.9772455309330197,15.858818332398963
PAPS,D26592,19.225112491196334,19.225112491196334,0.0,48.06278122799083,NGO_079,1.336900989707238,0.9919785940617565,11.61784018789134
PAPS,D13237,10.163734561376751,10.163734561376751,0.0,25.409336403441877,NGO_181,2.1168839881057795,0.9872986960713654,13.329161244736728
PAPS,D01888,23.122074745860875,23.122074745860875,0.0,57.805186864652185,NGO_474,2.8638936640265658,0.9828166380158405,2.329351908732839
PAPS,D24558,25.469285658863072,25.469285658863072,0.0,63.67321414715768,NGO_369,1.1687402993880864,0.9929875582036716,17.518557634591907
PAPS,D23214,25.717741319336564,25.717741319336564,0.0,64.2943532983414,NGO_267,0.806,0.9951639999999999,15.319082252806748
PAPS,D06188,27.588445050398686,27.588445050398686,0.0,68.97111262599671,NGO_136,2.501,0.9849940000000001,5.3974257708524185
PAPS,D25888,20.45443432357601,20.45443432357601,0.0,51.136085808940024,NGO_004,0.7565175645821381,0.9954608946125072,4.90919947531361
PAPS,D15842,10.55470758937443,10.55470758937443,0.0,26.386768973436077,NGO_229,0.22617496944770546,0.9986429501833138,4.934472157654941
PAPS,D03455,16.571653623084455,16.571653623084455,0.0,41.42913405771113,NGO_450,2.85,0.9829000000000001,6.867875887352604
PAPS,D02910,24.437255084460904,24.437255084460904,0.0,61.09313771115226,NGO_010,0.6667061908857498,0.9959997628546855,10.396102906115805
PAPS,D18431,15.604225097562669,15.604225097562669,0.0,39.01056274390667,NGO_012,0.7521914484814995,0.9954868513091111,8.911120298273852
PAPS,D07690,27.4589253164414,27.4589253164414,0.0,68.6473132911035,NGO_230,3.776,0.977344,6.659666243168671
PAPS,D17027,24.253548138919374,24.253548138919374,0.0,60.63387034729843,NGO_155,3.141036091739858,0.981153783449561,11.789646315558072
